Time,h1,h2,h3,h4,v1,v2
9.401175146893362466e+01,1.677692444615735447e-03,7.040576486845246187e-03,1.839959225280326247e-03,8.484403662587118589e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.501187648456057389e+01,1.677692455656854204e-03,7.040576487864820369e-03,1.839959225280326247e-03,8.484403662912715777e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.601200150018752311e+01,1.677692591101301312e-03,7.040576490808955756e-03,1.839959225280326247e-03,8.484403663857133931e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.701212651581448654e+01,1.677692403234914151e-03,7.040576492026199076e-03,1.839959225280326247e-03,8.484403664246230672e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.801225153144143576e+01,1.677692418353653311e-03,7.040576492840119188e-03,1.839959225280326247e-03,8.484403664505656834e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.901237654706838498e+01,1.677692432067513003e-03,7.040576493604584069e-03,1.839959225280326247e-03,8.484403664749314358e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.000125015626953484e+02,1.677692444653422965e-03,7.040576494323296484e-03,1.839959225280326247e-03,8.484403664978388063e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.010126265783222976e+02,1.677692456376484505e-03,7.040576495001160499e-03,1.839959225280326247e-03,8.484403665194449606e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.020127515939492469e+02,1.677692465026678565e-03,7.040576495647256523e-03,1.839959225280326247e-03,8.484403665400380365e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.030128766095762103e+02,1.677692569636711224e-03,7.040576497789842111e-03,1.839959225280326247e-03,8.484403666085407053e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.040130016252031595e+02,1.677692379043343096e-03,7.040576498660690644e-03,1.839959225280326247e-03,8.484403666363136282e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.050131266408301087e+02,1.677692567124980166e-03,7.040576499370959293e-03,1.839959225280326247e-03,8.484403666589510756e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.060132516564570579e+02,1.677692551712797568e-03,7.040576499838926104e-03,1.839959225280326247e-03,8.484403666738400338e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.070133766720840214e+02,1.677692537759369095e-03,7.040576500278426103e-03,1.839959225280326247e-03,8.484403666878229458e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.080135016877109706e+02,1.677692524983181435e-03,7.040576500691521876e-03,1.839959225280326247e-03,8.484403667009659047e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.090136267033379198e+02,1.677692513117863896e-03,7.040576501080812906e-03,1.839959225280326247e-03,8.484403667133513099e-03,1.500000000000000000e+00,5.000000000000000000e-01
